Player,Position,Games,At Bats,Runs,Hits,Doubles,Triples,Home Runs,RBI,Strike Outs,AVG
"ÿKim, H",LF,19,55,8,21,4,0,1,3,8,0.382
"ÿMachado, M",3B,51,207,38,65,21,0,13,31,40,0.314
"ÿReimold, N",LF,34,80,13,24,4,1,4,10,22,0.3
"ÿTrumbo, M",RF,51,201,29,57,8,1,15,39,59,0.284
"ÿWieters, M",C,35,128,11,36,7,0,4,20,35,0.281
"ÿSchoop, J",2B,51,187,20,50,10,1,8,30,44,0.267
"ÿRickard, J",LF,50,177,23,44,7,0,4,11,40,0.249
"ÿHardy, J",SS,22,78,11,19,7,0,2,8,13,0.244
"ÿJones, A",CF,47,181,23,43,8,0,5,23,38,0.238
"ÿDavis, C",1B,51,186,37,41,10,0,10,28,70,0.22
"ÿAlvarez, P",DH,36,108,7,23,8,0,3,12,28,0.213
"ÿFlaherty, R",3B,28,67,5,13,2,0,0,4,22,0.194
"ÿJoseph, C",C,23,66,5,12,2,0,0,0,14,0.182
"ÿJanish, P",SS,7,17,1,2,1,0,0,0,2,0.118
